编码,药店名,所在区县,地址
08200094,北京德厚康医药有限责任公司清河大药房,海淀区,北京市海淀区学府树家园3号楼3-5号商铺
08200093,北京好得快医药有限公司第十七大药房,海淀区,北京市海淀区西直门北大街47号院2号楼一层
08200092,北京嘉事堂连锁药店有限责任公司百朗园药店,海淀区,北京市海淀区永定路西里2号楼一层
08200091,北京嘉事堂连锁药店有限责任公司万柳药店,海淀区,北京市海淀区万柳阳春光华家园11号楼2门103
08200089,北京市佳乐安泰医药有限公司,海淀区,北京市海淀区高粱桥路上园村3号
08200087,北京宏瑞堂大药房,海淀区,北京市海淀区紫成嘉园17号楼首层1单元101底商
08200085,北京荣英堂大药房,海淀区,北京市海淀区西四环北路117号金四季购物中心一、二层北侧
08200084,北京爱心伟业大药房有限公司一店,海淀区,北京市海淀区北洼路64号平房
08200083,北京同仁堂连锁药店有限责任公司西站药店,海淀区,北京市海淀区羊坊店路17号平房
08200081,北京嘉事堂连锁药店有限责任公司蓝靛厂药店,海淀区,北京市海淀区蓝靛厂居住区（世纪城三期）时雨园甲2号21单元
08200076,北京嘉事堂连锁药店有限责任公司半壁店药店,海淀区,北京市海淀区田村路39号4号楼
08200075,北京新兴德胜连锁药房有限公司韩家川店,海淀区,北京市海淀区西北旺镇韩家川村51号平房
08200073,北京嘉事堂连锁药店有限责任公司恩济庄药店,海淀区,北京市海淀区恩济庄96号
08200070,北京德信行医保全新大药房有限公司怡秀园店,海淀区,北京市海淀区小南庄怡秀园综合楼
08200069,北京国大药房连锁有限公司宏嘉丽苑连锁店,海淀区,北京市海淀区罗庄宏嘉丽园第三幢首层08号
08200068,叮当智慧药房（北京）有限公司第二十七店,海淀区,北京市海淀区羊坊店东路120号3号、4号平房
08200067,叮当智慧药房（北京）有限公司第十五店,海淀区,北京市海淀区东北旺东馨园小区十号楼前商业房
08200066,北京好得快医药有限公司第一大药房,海淀区,北京市海淀区西直门北大街甲1号1层
08200065,北京德信行医保全新大药房有限公司北航路店,海淀区,北京市海淀区北四环中路252-7号
08200064,北京德信行医保全新大药房有限公司增光路店,海淀区,北京市海淀区增光路37号中海馥园三号楼底商1C号
08200063,北京德信行医保全新大药房有限公司西翠路店,海淀区,北京市海淀区西翠路5号今日家园7号楼底商东侧
08200062,北京国大药房连锁有限公司金沟河连锁店,海淀区,北京市海淀区金沟河路10号院1号楼一层
08200061,北京国大药房连锁有限公司永泰宝盛连锁店,海淀区,北京市海淀区宝盛里37号楼一层底商
08200060,北京国大药房连锁有限公司太月园连锁店,海淀区,北京市海淀区罗庄西里13号楼1层
08200058,北京养生堂药店有限公司中关村南路药店,海淀区,北京市海淀区中关村南路21号
08200057,北京养生堂药店有限公司小西天药店,海淀区,北京市海淀区志强园8号楼地上一层
08200056,北京养生堂药店有限公司蓟门桥药店,海淀区,北京市海淀区西土城路13号北京蓟门文体招待所西侧
08200055,北京嘉事堂连锁药店有限责任公司玉泉路药店,海淀区,北京市海淀区复兴路48号楼一层
08200054,北京嘉事堂连锁药店有限责任公司普惠桥药店,海淀区,北京市海淀区普惠北里18号
08200053,北京嘉事堂连锁药店有限责任公司四季青药店,海淀区,北京市海淀区昆明湖南路11号1号楼一层101号
08200052,北京同仁堂京北企业管理有限公司清河店,海淀区,北京市海淀区清河力度家园G座1层101、102号
08200051,北京同仁堂京北企业管理有限公司颐和园路药店,海淀区,北京市海淀区颐和园宫门前街1号89至91幢平房
08200050,北京同仁堂连锁药店有限责任公司牡丹园药店,海淀区,北京市海淀区花园路2号翠微大厦一层东侧
08200049,北京同仁堂京北企业管理有限公司西二旗店,海淀区,北京市海淀区西二旗中路6号二区15号楼一层底商
08200048,北京同仁堂京北企业管理有限公司永定路店,海淀区,北京市海淀区永定路乙1号14号楼41号
08200047,北京同仁堂连锁药店有限责任公司北京同仁堂时珍药店,海淀区,北京市海淀区新科祥园4号楼1层03、04室
08200046,北京福鸿金象大药房,海淀区,北京市海淀区交通大学路1号院6-3
08200045,北京阜成金象大药房有限责任公司,海淀区,北京市海淀区阜成路北九楼1号平房
08200044,北京金象大药房医药连锁有限责任公司魏公村金象大药房,海淀区,北京市海淀区中关村南大街24号6号楼一层
08200043,北京金象大药房医药连锁有限责任公司上园金象大药房,海淀区,北京市海淀区高梁桥路上园村甲4号写字楼1层1号
08200042,北京金象大药房医药连锁有限责任公司万丰路金象大药房,海淀区,北京市海淀区万丰路18-10号
08200036,北京德信行医保全新大药房有限公司会城门店,海淀区,北京市海淀区北蜂窝铁路东宿舍20号楼
08200034,方寸泉香（北京）科技有限公司大药房分店,海淀区,北京市海淀区田村山南路9号田村山庄1号楼一层
08200031,北京同仁堂连锁药店有限责任公司清华园药店,海淀区,北京市海淀区清华大学照澜院商业区
08200030,北京德信行医保全新大药房有限公司保福寺店,海淀区,北京市海淀区中关村甲334号楼76号底商
08200013,北京禧来康医院管理有限公司大药房,海淀区,北京市海淀区安宁庄西路9号院15号楼6-102
08200002,北京济安堂药店有限公司,海淀区,北京市海淀区华清嘉园8号楼
07200030,嘉事堂药业股份有限公司北京五里坨药店,石景山区,北京市石景山区五里坨（商业楼一楼）
07200029,北京金象大药房医药连锁有限责任公司古城金象大药房,石景山区,北京市石景山区古城路一号楼一层
07200028,北京健益堂大药房有限责任公司,石景山区,北京市石景山区石景山路24号南楼一层2号
07200027,北京时珍堂金鹿大药房有限公司,石景山区,北京市石景山区玉泉路65号（平房)
07200026,嘉事堂药业股份有限公司北京模式口药店,石景山区,北京市石景山区模式口西里商贸楼一层
07200025,嘉事堂药业股份有限公司北京八大处药店,石景山区,北京市石景山区西下庄商业楼一层
07200024,嘉事堂药业股份有限公司北京永乐药店,石景山区,北京市石景山区永乐西小区（原供销社）
07200023,嘉事堂药业股份有限公司北京金顶街西口药店,石景山区,北京市石景山区金顶街（星石超市内）
07200021,北京利民惠友堂药店有限公司,石景山区,北京市石景山区古城北路（物资局东侧）
07200020,北京顺安堂大药房有限公司,石景山区,北京市石景山区八宝山南路重兴嘉园4号楼101
07200018,北京乐顺堂大药房有限公司,石景山区,北京市石景山区八宝山永乐小区永乐粮店
07200016,北京市弘济药店有限公司第三分店,石景山区,北京市石景山区杨庄北区52号楼1层52-9
07200015,北京诚安堂医药有限公司八角北里店,石景山区,北京市石景山区八角北里实验小学对面平房9-15
07200014,北京诚安堂医药有限公司十万平店,石景山区,北京市石景山区十万平（十万平百货商场南侧）
07200013,北京金象大药房医药连锁有限责任公司老山西里金象大药房,石景山区,北京市石景山区老山路1号 
07200009,北京同仁堂连锁药店有限责任公司古城药店,石景山区,北京市石景山区古城南路32号
07200007,北京金象大药房医药连锁有限责任公司鲁谷金象大药房,石景山区,北京市石景山区鲁谷路八厂宿舍楼底商
07200005,嘉事堂药业股份有限公司北京苹果园药店,石景山区,北京市石景山区苹果园三区京石塑料厂3号、4号平房
07200004,北京嘉事堂连锁药店有限责任公司八角北路药店,石景山区,北京市石景山区八角北路甲18号楼一层
07200003,北京嘉事堂连锁药店有限责任公司古城路药店,石景山区,北京市石景山区古城南路1号楼1层
07200002,北京诚安堂医药有限公司,石景山区,北京市石景山区老山东里
07200001,北京市弘济药店有限公司益德堂分店,石景山区,北京市石景山区杨庄东街87-7
06200086,嘉事堂药业股份有限公司北京嘉事堂东高地药店,丰台区,北京市丰台区东高地六营门梅园小区44楼104号
06200085,嘉事堂药业股份有限公司北京嘉事堂东草药店,丰台区,北京市丰台区东高地南街3号
06200084,北京云芝堂鑫黄浦医药有限公司,丰台区,北京市丰台区造甲南里11号楼2-4与L-G轴1层
06200083,北京永民康医药技术有限公司第十九零售药店,丰台区,北京市丰台区马家堡东路101号院1号楼1层1-5、1-6
06200082,北京医保中洋大药房有限公司六里桥分店,丰台区,北京市丰台区华源一里5号楼第一层东侧
